iter	Passed	Remaining
0	1	163
1	3	157
2	4	153
3	5	139
4	7	136
5	8	133
6	9	131
7	11	130
8	12	129
9	14	127
10	15	125
11	16	123
12	18	120
13	19	118
14	20	116
15	21	114
16	23	112
17	24	110
18	25	108
19	26	106
20	28	105
21	29	103
22	30	102
23	32	101
24	34	102
25	60	171
26	62	168
27	63	164
28	65	160
29	67	158
30	69	155
31	71	151
32	73	148
33	74	145
34	76	141
35	77	137
36	78	134
37	80	130
38	82	128
39	83	125
40	86	123
41	86	119
42	88	117
43	90	115
44	91	112
45	93	109
46	94	106
47	96	104
48	97	101
49	98	98
50	100	96
51	101	93
52	103	91
53	104	89
54	105	86
55	107	84
56	108	81
57	109	79
58	111	77
59	112	74
60	113	72
61	115	70
62	116	68
63	118	66
64	119	64
65	120	62
66	122	60
67	123	58
68	124	55
69	126	54
70	127	52
71	128	50
72	130	48
73	131	46
74	133	44
75	134	42
76	135	40
77	137	38
78	138	36
79	139	34
80	140	32
81	142	31
82	143	29
83	144	27
84	146	25
85	147	24
86	149	22
87	150	20
88	152	18
89	153	17
90	154	15
91	155	13
92	157	11
93	158	10
94	159	8
95	161	6
96	162	5
97	163	3
98	165	1
99	166	0
